Name,Year,Age,,,,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,WAR
"Carlos Rodón (30 years old, 11.1 WAR)",2022,29,SFG,NL,178,0.202,0.263,0.308,0.571,0.295,0.02,0.33,0.07,88.50,0.40,0.25,0.34,0.30,0.53,3.4,0.02,29.4,5.4
"Nathan Eovaldi (33, 6.7)",2022,32,BOS,AL,109.1,0.264,0.297,0.457,0.754,0.3,0.05,0.22,0.04,89.4,0.46,0.22,0.47,0.24,0.91,0.7,0.00,0.8,1.5
"Chris Bassitt (34, 6.3)",2022,33,NYM,NL,181.2,0.234,0.297,0.359,0.656,0.282,0.03,0.22,0.07,85.3,0.33,0.19,0.49,0.24,0.98,2.2,0.01,17.8,3.2
"Corey Kluber (37, 4.5)",2022,36,TBR,AL,164,0.274,0.304,0.425,0.729,0.318,0.03,0.20,0.03,86.3,0.35,0.25,0.35,0.27,0.55,0,0.00,-6.8,0.7
"Sean Manaea (31, 4.4)",2022,30,SDP,NL,158,0.254,0.311,0.455,0.766,0.292,0.04,0.23,0.08,89.6,0.43,0.22,0.37,0.31,0.61,-0.7,-0.01,-17.3,-0.9
"Wade Miley (36, 3.5)",2022,35,CHC,NL,37,0.218,0.296,0.331,0.627,0.25,0.02,0.18,0.09,86.2,0.36,0.20,0.51,0.20,1.07,-0.4,0.00,-2.4,0
"Rich Hill (42, 3.4)",2022,42,BOS,AL,124.1,0.258,0.316,0.432,0.747,0.305,0.03,0.21,0.07,87.5,0.34,0.23,0.40,0.27,0.67,-0.8,0.00,-5.3,0.9
"Ross Stripling (33, 3.4)",2022,32,TOR,AL,134.1,0.229,0.259,0.354,0.614,0.269,0.02,0.21,0.04,88.6,0.37,0.24,0.44,0.24,0.8,1.7,0.01,13.9,2.7
"Zack Greinke (38, 3.1)",2022,38,KCR,AL,137,0.286,0.32,0.417,0.737,0.306,0.02,0.13,0.05,88.7,0.40,0.28,0.41,0.23,0.7,-0.1,0.00,1.6,2.6
"Michael Wacha (30, 2.6)",2022,30,BOS,AL,127.1,0.233,0.283,0.41,0.693,0.26,0.04,0.20,0.06,88.2,0.36,0.26,0.41,0.22,0.7,2,0.01,11.5,3.3
"Noah Syndergaard (30, 2.2)",2022,29,PHI,NL,54.2,0.29,0.319,0.442,0.761,0.32,0.02,0.14,0.04,85.3,0.32,0.25,0.39,0.27,0.66,0,0.00,0.8,0.6
Trevor Williams,2022,30,NYM,NL,89.2,0.253,0.307,0.413,0.72,0.302,0.03,0.23,0.06,87,0.37,0.26,0.36,0.28,0.57,-0.8,-0.01,3.4,1.4
"Jordan Lyles (31, 1.6)",2021,31,BAL,AL,179,0.276,0.331,0.454,0.784,0.313,0.03,0.19,0.07,88.3,0.39,0.23,0.40,0.28,0.67,-0.9,-0.01,-7.7,1
"Drew Smyly (33, 1.6)",2022,33,CHC,NL,106.1,0.243,0.295,0.422,0.717,0.275,0.04,0.20,0.06,86.6,0.36,0.23,0.41,0.25,0.68,0.9,0.00,9.5,1.9
"Erick Fedde (30, 1.6)",2022,29,WSN,NL,127,0.293,0.362,0.47,0.832,0.321,0.04,0.16,0.10,89.1,0.44,0.26,0.42,0.24,0.73,-1.6,0.00,-21.1,-0.7
"Joe Ross (29, 1.4)",2021,28,WSN,NL,108,0.237,0.306,0.402,0.708,0.28,0.04,0.24,0.07,86.6,0.37,0.21,0.43,0.31,0.77,-0.3,0.00,-3,0.8
"Michael Lorenzen (31, 1.3)",2022,30,LAA,AL,97.2,0.224,0.314,0.365,0.679,0.262,0.03,0.21,0.11,87.9,0.37,0.21,0.51,0.22,1.04,0.6,0.00,0.6,1.1
"Ryan Yarbrough (31, 1.3)",2022,30,TBR,AL,80,0.276,0.342,0.448,0.79,0.306,0.03,0.17,0.06,84.1,0.32,0.22,0.37,0.28,0.61,-0.6,0.00,-4.7,0
"Michael Pineda (33, 0.9)",2022,33,DET,AL,46.2,0.304,0.33,0.576,0.906,0.294,0.07,0.13,0.04,91.8,0.44,0.25,0.39,0.28,0.64,-0.7,0.00,-8,-0.6
"Dylan Bundy (29, 0.7)",2022,29,MIN,AL,140,0.271,0.306,0.459,0.765,0.285,0.04,0.16,0.05,88.6,0.38,0.24,0.34,0.33,0.52,-1.3,-0.01,-13.6,-0.3
"Chris Archer (33, 0.7)",2022,33,MIN,AL,102.2,0.228,0.317,0.391,0.708,0.26,0.03,0.19,0.11,89.4,0.45,0.25,0.44,0.27,0.78,-0.7,0.00,-4.5,0
"Aaron Sanchez (30, 0.6)",2022,29,MIN,AL,28.2,0.274,0.339,0.389,0.728,0.337,0.02,0.20,0.06,90.6,0.43,0.23,0.57,0.17,1.32,-0.3,0.00,-2.4,-0.1
"Zach Davies (30, 0.5)",2022,29,ARI,NL,134.1,0.241,0.309,0.412,0.722,0.258,0.04,0.18,0.09,86.5,0.35,0.21,0.42,0.29,0.75,-0.1,0.00,-0.2,0.7
"Chad Kuhl (29, 0.4)",2022,29,COL,NL,137,0.284,0.355,0.5,0.855,0.313,0.04,0.18,0.09,89.9,0.45,0.29,0.37,0.26,0.59,-1.8,0.00,-22.7,0
"Dallas Keuchel (35, 0.3)",2022,34,TEX,AL,10,0.409,0.44,0.614,1.054,0.447,0.02,0.14,0.08,87.9,0.41,0.21,0.51,0.28,1.05,-0.7,0.00,-8.4,-2.6
"Chase Anderson (35, -0.2)",2022,34,CIN,NL,24,0.205,0.34,0.361,0.701,0.237,0.03,0.22,0.15,84.2,0.39,0.18,0.55,0.21,1.21,-0.4,0.00,-3.6,-0.2
"Mike Foltynewicz (30, -0.7)",2021,29,TEX,AL,139,0.26,0.316,0.527,0.843,0.256,0.06,0.17,0.06,89.2,0.43,0.25,0.37,0.29,0.61,-0.8,0.00,-13.4,-0.7
"Kohei Arihara (30, -0.9)",2022,29,TEX,AL,20,0.387,0.467,0.645,1.112,0.427,0.04,0.13,0.10,87.8,0.44,0.24,0.49,0.20,1.03,-0.8,0.00,-13.1,-0.9